Id,SpeakerName,Phrase,translation
140851001,雪,……はあ。/nったく、なんで教室にいないんだ、アイツは……。,……哈啊。/n真的是，为什么人不在教室啊，那家伙……
140851002,カミラ,それな！　抜き打ちテストとかマジぴえん越してぱおん！,就是啊！ 随堂小测什么的真心不让人好受！
140851003,カミラの友人達,不意打ちがすぎるってーの。生徒イジメて楽しいんか？/nマジ答案返ってきて欲しくないしー。はー、メンタルべこべこー。,讲真太突然了啦。欺负学生很好玩吗？/n真希望别把卷子发回来。哈——，要精神崩溃了。
140851004,雪,やっと来た……。,终于回来了……
140851005,雪,おいカミラ、話がある！,喂卡米拉，有话跟你说！
140851006,カミラ,お？　シェシェじゃん。ごめーん、先戻っといて。,噢？ 这不是雪雪嘛。抱歉，你们先回去吧。
140851007,カミラ,……で、どしたん？なんかあった？,……所以怎么啦？有什么事吗？
140851008,雪,……あの時は迷惑をかけたと思わなくもない。,……我觉得之前那次也不是没给你添麻烦
140851009,カミラ,ん？　どしたん元気なくね？/nてかなんか言った？,嗯？ 怎么啦看你这么没精神？/n话说刚才说了什么？
140851010,雪,……受け取れ。/nん！,……收下吧。/n嗯！
140851011,カミラ,は？　この封筒なに？,哈？ 这个信封是啥？
140851012,カミラ,もしかしてウチへのファンレターとか？,难道是给咱的情书之类的？
140851013,雪,そんなワケないだろ、これは……！,没那可能好吧，这个是……！
140851014,雪,……いいから手を出せ！　お前には受け取る義務がある！,……好了啦快把手伸出来！ 你有收下它的义务！
140851015,カミラ,え、なんか怖……。/nまあ、シェシェがそこまで言うなら――,诶、有点恐怖……。/n哎、既然雪雪都这么说了——
140851016,カミラ,は、待って！　現金入ってんだけど！？/nイミフが過ぎてウケる！　いやウケないし！　怖いって！,哈、等下！ 这里头装的现金啊？/n迷惑得有点好笑了！ 不对一点都不好笑！ 太吓人了！
140851017,雪,ダメだ、もうお前のだ！　ワタシは帰る！,不行，这已经是你的了！ 我要回去了！
140851018,カミラ,帰さんから！　いやお金は返す！/nこんな覚えのないモン受け取れねぇから！,怎么能放你回去啊！ 不对钱是要放回去！/n咱可不能收下这么没头绪的东西！
140851019,雪,なんで素直に受け取らないんだよ！/nた、立て替えてもらっただろ、カフェの代金！,为什么你就不肯乖乖收下呢！/n不、不是帮我垫付了吗，咖啡店里的！
140851020,カミラ,あーあん時の――ってどう考えてもカンギュージュートー！,啊——那时候的——不是，怎么看这都太多了吧——！
